Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"Analyse",2025-05-01,2025-05-21,15 day,52,"","",,"<p><br></p>"
2,2,"Contexte, acteurs, fonctionnalités du MVP",2025-05-01,2025-05-02,2 day,100,"","Team Member 1",121,"<p><br></p>"
2,3,"Diagramme de cas d'utilisation",2025-05-05,2025-05-09,5 day,100,"2FS","Team Member 2",211,"<p><br></p>"
2,4,"Outils de développement et suivi, choix des technos",2025-05-12,2025-05-15,4 day,20,"3FS","Team Member 3",301,"<p><br></p>"
2,5,"Définition du processus de déploiement",2025-05-16,2025-05-21,4 day,0,"4FS","Team Member 3",,"<p><br></p>"
1,6,"Conception",2025-05-22,2025-07-01,29 day,0,"","",,"<p><br></p>"
2,7,"Ecriture des user stories",2025-05-22,2025-06-02,8 day,0,"","",,"<p><br></p>"
2,8,"Diagrammes d'activité et de séquence",2025-06-03,2025-06-12,8 day,0,"","",,"<p><br></p>"
2,9,"Diagrammes MCD, MLD, MPD",2025-06-13,2025-06-20,6 day,0,"","",,"<p><br></p>"
2,10,"Diagramme de classes",2025-06-23,2025-06-25,3 day,0,"","",,"<p><br></p>"
2,11,"Arborescence de page",2025-06-23,2025-06-25,3 day,0,"","",,"<p><br></p>"
2,12,"Charte graphique et maquettes",2025-06-26,2025-07-01,4 day,0,"","",,"<p><br></p>"
1,13,"Mise en place",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
2,14,"Définition du workflow git",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
2,15,"Création des repos, sécurisation des branches",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
2,16,"Dockerisation",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
2,17,"Initialisation des projets et mise en place de la CI/CD",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
1,18,"Développement",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
2,19,"Tests unitaires",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
2,20,"Tests d'intégration",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
2,21,"Tests fonctionnels",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
2,22,"Refactorisation",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
2,23,"Back",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
2,24,"Front",2025-05-19,2025-05-19,1 day,0,"","",,"<p><br></p>"
